name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,start,win,game_id
Wendell Moore Jr.,,,,,,,,,,,,,,,,,,,,,,0,0,202410230DET
Isaiah Stewart,16.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.9,5.0,0,0,202410230DET
Ron Holland,15.0,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,4.5,-2.0,0,0,202410230DET
Nick Smith Jr.,,,,,,,,,,,,,,,,,,,,,,0,1,202410230HOU
Seth Curry,26.0,2.0,5.0,0.4,2.0,3.0,0.667,1.0,3.0,0.333,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,7.0,4.7,3.0,0,1,202410230HOU
Tre Mann,28.0,8.0,16.0,0.5,4.0,8.0,0.5,4.0,4.0,1.0,3.0,3.0,6.0,1.0,0.0,1.0,3.0,2.0,24.0,16.6,2.0,0,1,202410230HOU
Brandon Miller,10.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,5.4,-6.0,1,1,202410230HOU
Moussa Diabaté,14.0,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,2.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,4.3,6.0,0,1,202410230HOU
Nick Richards,23.0,3.0,4.0,0.75,0.0,0.0,,0.0,2.0,0.0,2.0,6.0,8.0,1.0,0.0,2.0,1.0,5.0,6.0,5.9,-1.0,1,1,202410230HOU
Grant Williams,24.0,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,8.0,5.4,1.0,0,1,202410230HOU
Miles Bridges,32.0,5.0,11.0,0.455,0.0,3.0,0.0,0.0,0.0,,0.0,9.0,9.0,2.0,1.0,1.0,4.0,1.0,10.0,5.7,4.0,1,1,202410230HOU
Cody Martin,23.0,2.0,6.0,0.333,1.0,4.0,0.25,3.0,4.0,0.75,3.0,5.0,8.0,1.0,0.0,1.0,0.0,3.0,8.0,8.0,4.0,1,1,202410230HOU
Tidjane Salaün,,,,,,,,,,,,,,,,,,,,,,0,1,202410230HOU
Jared Rhoden,,,,,,,,,,,,,,,,,,,,,,0,1,202410230HOU
LaMelo Ball,37.0,10.0,20.0,0.5,4.0,12.0,0.333,10.0,10.0,1.0,1.0,7.0,8.0,11.0,1.0,1.0,2.0,3.0,34.0,33.0,14.0,1,1,202410230HOU
KJ Simpson,,,,,,,,,,,,,,,,,,,,,,0,1,202410230HOU
Vasilije Micić,16.0,2.0,9.0,0.222,1.0,3.0,0.333,0.0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,3.0,1.0,5.0,0.1,-2.0,0,1,202410230HOU
Taj Gibson,,,,,,,,,,,,,,,,,,,,,,0,1,202410230HOU
Jalen Green,35.0,9.0,23.0,0.391,5.0,15.0,0.333,5.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,16.1,-11.0,1,0,202410230HOU
