name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,start,win,game_id,fanta_score,fanta_value,fanta_gain
Sam Merrill,27.0,5.0,10.0,0.5,2.0,6.0,0.333,0.0,0.0,,0.0,5.0,5.0,2.0,2.0,0.0,2.0,1.0,12.0,9.5,-11.0,0,1,202411040CLE,15.75,4.827974252982564,0.18480749593275883
Tyler Smith,,,,,,,,,,,,,,,,,,,,,,0,0,202411040CLE,,5.108866825215821,-0.1
Craig Porter Jr.,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,2.0,0,1,202411040CLE,-1.5750000000000002,4.242895801150391,-0.24115739377148437
Ryan Rollins,6.0,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.6,7.0,0,0,202411040CLE,5.75,4.0,-0.03624999999999998
Stanley Umude,,,,,,,,,,,,,,,,,,,,,,0,0,202411040CLE,,4.0,-0.1
Andre Jackson Jr.,24.0,2.0,7.0,0.286,2.0,5.0,0.4,1.0,2.0,0.5,1.0,6.0,7.0,2.0,0.0,1.0,2.0,0.0,7.0,5.1,7.0,0,0,202411040CLE,9.75,4.06375,0.06375000000000003
Pat Connaughton,22.0,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,,0.0,4.0,4.0,5.0,2.0,0.0,0.0,3.0,7.0,10.9,8.0,0,0,202411040CLE,20.5,5.600318469440147,0.2727598626965377
Bobby Portis,38.0,10.0,21.0,0.476,0.0,2.0,0.0,1.0,2.0,0.5,3.0,15.0,18.0,1.0,0.0,3.0,1.0,3.0,21.0,17.1,-3.0,1,0,202411040CLE,38.25,9.336904294278646,0.5613500594318963
Gary Trent Jr.,20.0,1.0,7.0,0.143,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,-1.4,-19.0,1,0,202411040CLE,1.0,6.286213362091114,-0.27003099611947656
Evan Mobley,31.0,6.0,15.0,0.4,1.0,3.0,0.333,4.0,6.0,0.667,1.0,4.0,5.0,3.0,0.0,3.0,0.0,1.0,17.0,13.8,1.0,1,1,202411040CLE,22.3125,13.761379710702203,-0.0643451172582189
Brook Lopez,35.0,6.0,12.0,0.5,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,6.0,0.0,4.0,2.0,1.0,1.0,13.0,13.2,-2.0,1,0,202411040CLE,21.75,10.229344282399326,0.0873607406199271
Delon Wright,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-8.0,0,0,202411040CLE,-1.0,4.075032110685875,-0.2181952303464548
Donovan Mitchell,31.0,5.0,15.0,0.333,3.0,7.0,0.429,1.0,2.0,0.5,0.0,4.0,4.0,4.0,2.0,0.0,4.0,0.0,14.0,7.1,3.0,1,1,202411040CLE,14.700000000000001,15.766704570605754,-0.3581169692955589
A.J. Green,33.0,7.0,9.0,0.778,7.0,9.0,0.778,0.0,0.0,,0.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,21.0,19.0,5.0,0,0,202411040CLE,30.0,4.87892538816302,0.5554433063169257
Isaac Okoro,26.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,,2.0,1.0,3.0,2.0,1.0,0.0,1.0,4.0,5.0,3.8,20.0,1,1,202411040CLE,9.975,5.470226060549192,0.003366311283022394
Dwight Powell,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,202411040DAL,0.0,4.6839540835997635,-0.22070987828480562
Jazian Gortman,,,,,,,,,,,,,,,,,,,,,,0,0,202411040DAL,,4.0,-0.1
Olivier-Maxence Prosper,,,,,,,,,,,,,,,,,,,,,,0,0,202411040DAL,,4.0,-0.1
Klay Thompson,33.0,6.0,12.0,0.5,4.0,8.0,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,16.0,10.7,-14.0,1,0,202411040DAL,18.5,10.766100996673284,-0.023009994607641637
P.J. Washington,34.0,3.0,11.0,0.273,0.0,5.0,0.0,2.0,4.0,0.5,1.0,10.0,11.0,0.0,0.0,3.0,2.0,2.0,8.0,3.7,-6.0,1,0,202411040DAL,11.75,10.496771855624543,-0.187020663354036
Dereck Lively II,,,,,,,,,,,,,,,,,,,,,,0,0,202411040DAL,,9.71894316697479,-0.1
Quentin Grimes,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2,3.0,0,0,202411040DAL,1.5,5.629521055683704,-0.22599837435158818
Markieff Morris,,,,,,,,,,,,,,,,,,,,,,0,0,202411040DAL,,4.400000000000002,-0.1
Naji Marshall,33.0,8.0,9.0,0.889,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,6.0,1.0,0.0,0.0,2.0,20.0,23.2,5.0,0,0,202411040DAL,34.75,6.852945529911599,0.5867722001612335
Luka Dončić,42.0,9.0,24.0,0.375,4.0,10.0,0.4,12.0,15.0,0.8,0.0,7.0,7.0,15.0,2.0,0.0,2.0,3.0,34.0,31.0,-3.0,1,0,202411040DAL,55.5,23.12865660549623,0.36304759450541346
Kyrie Irving,39.0,11.0,21.0,0.524,3.0,7.0,0.429,2.0,2.0,1.0,2.0,3.0,5.0,4.0,0.0,0.0,2.0,3.0,27.0,18.6,-11.0,1,0,202411040DAL,29.5,17.36866218196821,-0.046167327946146086
Daniel Gafford,15.0,3.0,3.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0,7.5,-12.0,1,0,202411040DAL,13.25,9.973521520056227,-0.12309787267280647
Jaden Hardy,,,,,,,,,,,,,,,,,,,,,,0,0,202411040DAL,,4.714577121288029,-0.1
Spencer Dinwiddie,23.0,6.0,8.0,0.75,2.0,3.0,0.667,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,14.0,10.8,-3.0,0,0,202411040DAL,16.5,6.955712532834778,0.10418108484024613
Obi Toppin,24.0,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,,1.0,5.0,6.0,2.0,0.0,0.0,0.0,2.0,11.0,10.2,-8.0,0,1,202411040DAL,18.1125,7.99963206286241,0.09720320122637871
Myles Turner,32.0,10.0,17.0,0.588,5.0,8.0,0.625,5.0,5.0,1.0,1.0,10.0,11.0,0.0,1.0,1.0,2.0,2.0,30.0,24.7,9.0,1,1,202411040DAL,47.5125,12.683046973599236,0.6461522368461095
Bennedict Mathurin,31.0,7.0,13.0,0.538,1.0,4.0,0.25,1.0,3.0,0.333,0.0,7.0,7.0,3.0,1.0,0.0,0.0,3.0,16.0,12.9,13.0,1,1,202411040DAL,23.1,9.359898321478706,0.16366971260047986
Pascal Siakam,35.0,10.0,16.0,0.625,1.0,2.0,0.5,2.0,2.0,1.0,1.0,5.0,6.0,4.0,0.0,0.0,1.0,1.0,23.0,19.4,16.0,1,1,202411040DAL,30.1875,15.81979359624098,0.0448133907530428
Aaron Nesmith,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DAL,,7.529692756612862,-0.1
James Johnson,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DAL,,10.952000000000002,-0.1
Quenton Jackson,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DAL,,4.0,-0.1
Enrique Freeman,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DAL,,5.559446875000002,-0.1
Ben Sheppard,16.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,0.6,-6.0,0,1,202411040DAL,2.3625000000000003,5.341883417837199,-0.18986623434834968
Johnny Furphy,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DAL,,4.682000000000002,-0.1
Jarace Walker,14.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,2.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0,1,202411040DAL,6.0375000000000005,4.390823843045417,-0.04884772035292534
Tyrese Haliburton,35.0,10.0,16.0,0.625,2.0,8.0,0.25,3.0,6.0,0.5,0.0,4.0,4.0,12.0,2.0,1.0,2.0,1.0,25.0,26.5,9.0,1,1,202411040DAL,47.775,19.28396353971482,0.3419860112176263
T.J. McConnell,20.0,6.0,10.0,0.6,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,12.0,10.8,-5.0,0,1,202411040DAL,16.5375,8.579628265208207,0.028643170749351576
Andrew Nembhard,28.0,4.0,9.0,0.444,1.0,2.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,11.0,8.5,7.0,1,1,202411040DAL,15.4875,7.1405194624679496,0.06896766930779297
Michael Porter Jr.,36.0,7.0,16.0,0.438,3.0,10.0,0.3,2.0,3.0,0.667,4.0,5.0,9.0,3.0,1.0,1.0,2.0,2.0,19.0,15.5,1.0,1,1,202411040DEN,28.875,11.086403814696038,0.23349406108762127
Dario Šarić,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DEN,,4.232381257181251,-0.1
Jalen Pickett,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DEN,,4.0,-0.1
Zeke Nnaji,13.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.4,-2.0,0,1,202411040DEN,4.4625,4.304490000000001,-0.08601000000000003
Russell Westbrook,34.0,6.0,10.0,0.6,1.0,5.0,0.2,8.0,10.0,0.8,1.0,5.0,6.0,6.0,1.0,1.0,4.0,4.0,21.0,18.1,-3.0,1,1,202411040DEN,29.6625,8.698966468751527,0.36660629204835754
Trey Alexander,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DEN,,4.0,-0.1
Christian Braun,36.0,7.0,11.0,0.636,1.0,1.0,1.0,2.0,4.0,0.5,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,17.0,13.1,5.0,1,1,202411040DEN,18.6375,8.578551356152984,0.08366773714462389
Hunter Tyson,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.5,-2.0,0,1,202411040DEN,3.1500000000000004,4.0840796875,-0.1099828125
Aaron Gordon,4.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.3,1.0,1,1,202411040DEN,3.1500000000000004,12.600217845380904,-0.5112668094682101
DeAndre Jordan,6.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,3.3,3.0,0,1,202411040DEN,8.137500000000001,4.0234375,0.023437500000000056
Julian Strawther,25.0,4.0,10.0,0.4,2.0,4.0,0.5,3.0,4.0,0.75,0.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,13.0,10.8,-1.0,0,1,202411040DEN,16.275000000000002,6.0985080474818565,0.1386828668725828
Spencer Jones,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DEN,,4.0,-0.1
Peyton Watson,30.0,4.0,7.0,0.571,1.0,2.0,0.5,7.0,9.0,0.778,1.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,16.0,14.3,9.0,0,1,202411040DEN,21.2625,5.875615587907987,0.2797484801509326
Bruno Fernando,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,0,0,202411040DEN,3.5,4.0,-0.094924896775
Jakob Poeltl,32.0,11.0,18.0,0.611,0.0,0.0,,2.0,4.0,0.5,6.0,5.0,11.0,3.0,3.0,0.0,2.0,6.0,24.0,21.4,-5.0,1,0,202411040DEN,34.5,11.695682128190002,0.35203592066120415
Davion Mitchell,30.0,5.0,11.0,0.455,2.0,7.0,0.286,1.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,2.0,13.0,13.4,-1.0,1,0,202411040DEN,22.5,14.095140138311049,-0.07516367143874048
Jamison Battle,12.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,2.2,-6.0,0,0,202411040DEN,3.25,4.752801155063509,-0.13887544709723343
Chris Boucher,13.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.9,-2.0,0,0,202411040DEN,5.75,6.702400989061473,-0.16529638168352487
Ochai Agbaji,32.0,6.0,11.0,0.545,2.0,4.0,0.5,2.0,3.0,0.667,1.0,4.0,5.0,4.0,2.0,0.0,0.0,3.0,16.0,15.8,1.0,1,0,202411040DEN,25.25,7.36621225932295,0.3138957574141019
Nikola Jokić,38.0,10.0,22.0,0.455,1.0,5.0,0.2,7.0,8.0,0.875,5.0,9.0,14.0,13.0,1.0,2.0,7.0,2.0,28.0,26.1,-1.0,1,1,202411040DEN,57.487500000000004,26.87433235462747,0.23857858014844413
Jonathan Mogbo,20.0,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,0.0,3.0,3.0,6.0,2.0,0.0,0.0,0.0,2.0,4.0,4.8,-4.0,0,0,202411040DEN,9.75,5.237570644841155,0.008439079562458679
Garrett Temple,,,,,,,,,,,,,,,,,,,,,,0,0,202411040DEN,,4.0,-0.1
Ja'Kobe Walter,8.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,1.1,10.0,0,0,202411040DEN,3.75,4.638475625000001,-0.12039937500000003
Gradey Dick,35.0,10.0,20.0,0.5,4.0,9.0,0.444,2.0,2.0,1.0,0.0,2.0,2.0,5.0,3.0,2.0,4.0,0.0,26.0,20.5,1.0,1,0,202411040DEN,32.0,8.596498140304139,0.4326257420799098
RJ Barrett,32.0,5.0,21.0,0.238,2.0,11.0,0.182,4.0,5.0,0.8,1.0,5.0,6.0,10.0,1.0,0.0,5.0,4.0,16.0,6.5,-8.0,1,0,202411040DEN,20.25,12.389508723092968,-0.05369412831328124
Jamal Shead,17.0,3.0,4.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,8.0,8.5,-2.0,0,0,202411040DEN,15.0,5.067538457502554,0.15388562242134562
Isaiah Stewart,24.0,3.0,7.0,0.429,0.0,0.0,,2.0,2.0,1.0,4.0,5.0,9.0,2.0,0.0,2.0,0.0,3.0,8.0,10.2,4.0,0,1,202411040DET,21.0,8.141266540991676,0.166118330529188
Malik Beasley,28.0,2.0,10.0,0.2,1.0,5.0,0.2,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,7.0,0.9,-6.0,0,1,202411040DET,3.4125,5.989470957440242,-0.1928939194605349
Tim Hardaway Jr.,32.0,7.0,12.0,0.583,4.0,8.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,14.1,-3.0,1,1,202411040DET,21.525000000000002,7.9421722850877545,0.18924319075502738
Tobias Harris,30.0,7.0,15.0,0.467,1.0,7.0,0.143,0.0,0.0,,0.0,7.0,7.0,1.0,1.0,1.0,2.0,5.0,15.0,7.8,17.0,1,1,202411040DET,17.325,10.655206480038137,-0.048543760839493355
Simone Fontecchio,12.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,-1.4,3.0,0,1,202411040DET,2.1,7.25443755822659,-0.2868583142619859
Marcus Sasser,,,,,,,,,,,,,,,,,,,,,,0,1,202411040DET,,4.8375050084375015,-0.1
Jalen Duren,23.0,5.0,7.0,0.714,0.0,0.0,,1.0,1.0,1.0,8.0,6.0,14.0,1.0,1.0,1.0,2.0,5.0,11.0,13.9,6.0,1,1,202411040DET,34.125,14.08719615638339,0.22953002404476175
